행정구역,총 인구수,연령구간인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100세 이상,남 인구수,연령구간인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100세 이상,여 인구수,연령구간인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100세 이상
전북특별자치도  (5200000000),"1,731,309","1,731,309","91,600","160,458","177,075","172,451","231,092","301,123","288,446","185,316","103,965","19,313",470,"862,633","862,633","46,824","82,908","96,297","90,369","118,064","156,400","144,777","85,971","36,562","4,400",61,"868,676","868,676","44,776","77,550","80,778","82,082","113,028","144,723","143,669","99,345","67,403","14,913",409
전북특별자치도 전주시 (5211000000),"630,904","630,904","38,748","66,633","79,272","75,479","94,191","109,177","87,665","51,286","24,353","4,016",84,"309,605","309,605","19,860","34,200","41,611","39,041","46,253","53,673","41,681","22,999","9,253","1,022",12,"321,299","321,299","18,888","32,433","37,661","36,438","47,938","55,504","45,984","28,287","15,100","2,994",72
전북특별자치도 전주시 완산구 (5211100000),"319,175","319,175","16,955","31,553","40,526","36,718","44,819","57,333","47,787","28,180","12,965","2,288",51,"154,665","154,665","8,710","16,277","21,052","18,968","21,717","27,495","22,365","12,680","4,829",566,6,"164,510","164,510","8,245","15,276","19,474","17,750","23,102","29,838","25,422","15,500","8,136","1,722",45
전북특별자치도 전주시 덕진구 (5211300000),"311,729","311,729","21,793","35,080","38,746","38,761","49,372","51,844","39,878","23,106","11,388","1,728",33,"154,940","154,940","11,150","17,923","20,559","20,073","24,536","26,178","19,316","10,319","4,424",456,6,"156,789","156,789","10,643","17,157","18,187","18,688","24,836","25,666","20,562","12,787","6,964","1,272",27
전북특별자치도 군산시 (5213000000),"256,732","256,732","14,507","25,180","24,707","25,868","38,548","45,774","41,476","26,265","12,241","2,111",55,"130,313","130,313","7,348","12,966","13,888","13,783","20,106","24,215","20,714","12,308","4,496",482,7,"126,419","126,419","7,159","12,214","10,819","12,085","18,442","21,559","20,762","13,957","7,745","1,629",48
전북특별자치도 익산시 (5214000000),"267,727","267,727","13,348","24,813","29,545","26,734","34,966","48,014","45,803","27,522","14,283","2,641",58,"133,265","133,265","6,709","12,757","16,164","14,130","17,932","24,344","22,861","12,734","5,046",581,7,"134,462","134,462","6,639","12,056","13,381","12,604","17,034","23,670","22,942","14,788","9,237","2,060",51
전북특별자치도 정읍시 (5218000000),"101,330","101,330","4,407","8,210","8,342","7,788","11,820","18,009","18,964","13,224","8,750","1,775",41,"50,623","50,623","2,292","4,307","4,730","4,196","6,166","9,668","9,852","6,041","2,978",387,6,"50,707","50,707","2,115","3,903","3,612","3,592","5,654","8,341","9,112","7,183","5,772","1,388",35
전북특별자치도 남원시 (5219000000),"75,067","75,067","3,384","6,116","5,782","5,470","8,409","13,544","14,128","10,229","6,589","1,375",41,"36,875","36,875","1,752","3,224","3,236","2,837","4,188","7,144","7,246","4,790","2,167",283,8,"38,192","38,192","1,632","2,892","2,546","2,633","4,221","6,400","6,882","5,439","4,422","1,092",33
전북특별자치도 김제시 (5221000000),"81,258","81,258","3,479","5,627","6,441","6,576","8,797","13,240","16,235","11,590","7,567","1,666",40,"40,727","40,727","1,781","2,907","3,626","3,483","4,843","7,422","8,389","5,410","2,486",371,9,"40,531","40,531","1,698","2,720","2,815","3,093","3,954","5,818","7,846","6,180","5,081","1,295",31
전북특별자치도 완주군 (5271000000),"100,040","100,040","5,889","8,716","9,022","11,163","13,342","16,914","17,258","10,631","5,905","1,173",27,"51,403","51,403","3,015","4,502","4,999","5,842","7,034","9,305","9,102","5,291","2,044",267,2,"48,637","48,637","2,874","4,214","4,023","5,321","6,308","7,609","8,156","5,340","3,861",906,25
전북특별자치도 진안군 (5272000000),"24,219","24,219",838,"1,493","1,523","1,356","2,065","4,183","5,627","3,963","2,629",526,16,"12,393","12,393",424,763,872,662,"1,153","2,375","3,119","1,976",929,119,1,"11,826","11,826",414,730,651,694,912,"1,808","2,508","1,987","1,700",407,15
전북특별자치도 무주군 (5273000000),"22,945","22,945",753,"1,670","1,504","1,411","2,273","3,941","4,978","3,464","2,473",467,11,"11,541","11,541",378,873,856,761,"1,223","2,218","2,676","1,614",828,112,2,"11,404","11,404",375,797,648,650,"1,050","1,723","2,302","1,850","1,645",355,9
전북특별자치도 장수군 (5274000000),"20,489","20,489",690,"1,472","1,219","1,177","2,009","3,416","4,458","3,350","2,252",434,12,"10,298","10,298",360,764,678,630,"1,129","1,921","2,348","1,636",722,108,2,"10,191","10,191",330,708,541,547,880,"1,495","2,110","1,714","1,530",326,10
전북특별자치도 임실군 (5275000000),"25,427","25,427",997,"1,379","1,504","1,634","2,199","4,113","5,643","4,189","3,136",619,14,"13,153","13,153",519,733,881,888,"1,297","2,377","3,188","2,060","1,058",151,1,"12,274","12,274",478,646,623,746,902,"1,736","2,455","2,129","2,078",468,13
전북특별자치도 순창군 (5277000000),"26,804","26,804","1,095","2,003","1,928","1,606","2,710","4,501","5,461","3,956","2,984",543,17,"13,215","13,215",565,"1,035","1,077",798,"1,420","2,519","2,918","1,829",924,129,1,"13,589","13,589",530,968,851,808,"1,290","1,982","2,543","2,127","2,060",414,16
전북특별자치도 고창군 (5279000000),"50,716","50,716","1,791","3,933","3,175","3,148","4,844","8,310","10,562","8,034","5,803","1,076",40,"25,398","25,398",929,"2,219","1,866","1,664","2,656","4,717","5,450","3,752","1,930",213,2,"25,318","25,318",862,"1,714","1,309","1,484","2,188","3,593","5,112","4,282","3,873",863,38
전북특별자치도 부안군 (5280000000),"47,651","47,651","1,674","3,213","3,111","3,041","4,919","7,987","10,188","7,613","5,000",891,14,"23,824","23,824",892,"1,658","1,813","1,654","2,664","4,502","5,233","3,531","1,701",175,1,"23,827","23,827",782,"1,555","1,298","1,387","2,255","3,485","4,955","4,082","3,299",716,13
